development_selection_order,ticker,name,market,selection_sector,market_cap_bucket,selection_stratum,within_stratum_rank,listing_date,listing_age_bucket,industry,source_development_selection_order,spent_stock_quarantine,oos_a_frozen,future_outcomes_opened
44,030350,드래곤플라이,KOSDAQ,SOFTWARE_IT,CAP_SMALL,KOSDAQ|SOFTWARE_IT|CAP_SMALL,2,1997-11-10,AGE_GE10Y,소프트웨어 개발 및 공급업,143,False,True,False
45,024800,유성티엔에스,KOSDAQ,TRANSPORT_LOGISTICS,CAP_LARGE,KOSDAQ|TRANSPORT_LOGISTICS|CAP_LARGE,2,1999-12-10,AGE_GE10Y,육상 여객 운송업,144,False,True,False
46,003570,SNT다이내믹스,KOSPI,AUTO_TRANSPORT_EQUIP,CAP_LARGE,KOSPI|AUTO_TRANSPORT_EQUIP|CAP_LARGE,2,1976-07-08,AGE_GE10Y,자동차 신품 부품 제조업,145,False,True,False
47,000430,대원강업,KOSPI,AUTO_TRANSPORT_EQUIP,CAP_MID,KOSPI|AUTO_TRANSPORT_EQUIP|CAP_MID,2,1977-06-22,AGE_GE10Y,자동차 신품 부품 제조업,146,False,True,False
48,001380,SG글로벌,KOSPI,AUTO_TRANSPORT_EQUIP,CAP_SMALL,KOSPI|AUTO_TRANSPORT_EQUIP|CAP_SMALL,2,1976-06-29,AGE_GE10Y,자동차 신품 부품 제조업,147,False,True,False
49,001060,JW중외제약,KOSPI,BIO_HEALTHCARE,CAP_LARGE,KOSPI|BIO_HEALTHCARE|CAP_LARGE,2,1976-06-14,AGE_GE10Y,의약품 제조업,148,False,True,False
50,000520,삼일제약,KOSPI,BIO_HEALTHCARE,CAP_MID,KOSPI|BIO_HEALTHCARE|CAP_MID,2,1985-05-29,AGE_GE10Y,의약품 제조업,149,False,True,False
51,000230,일동홀딩스,KOSPI,BIO_HEALTHCARE,CAP_SMALL,KOSPI|BIO_HEALTHCARE|CAP_SMALL,2,1975-06-28,AGE_GE10Y,의약품 제조업,150,False,True,False
52,000880,한화,KOSPI,CHEMICAL_MATERIALS,CAP_LARGE,KOSPI|CHEMICAL_MATERIALS|CAP_LARGE,2,1976-06-24,AGE_GE10Y,기타 화학제품 제조업,151,False,True,False
53,000860,강남제비스코,KOSPI,CHEMICAL_MATERIALS,CAP_MID,KOSPI|CHEMICAL_MATERIALS|CAP_MID,2,1975-11-12,AGE_GE10Y,기타 화학제품 제조업,152,False,True,False
54,001560,제일연마,KOSPI,CHEMICAL_MATERIALS,CAP_SMALL,KOSPI|CHEMICAL_MATERIALS|CAP_SMALL,2,2005-12-09,AGE_GE10Y,기타 비금속 광물제품 제조업,153,False,True,False
55,002990,금호건설,KOSPI,CONSTRUCTION_REAL_ESTATE,CAP_LARGE,KOSPI|CONSTRUCTION_REAL_ESTATE|CAP_LARGE,2,1976-06-26,AGE_GE10Y,건물 건설업,154,False,True,False
56,002460,HS화성,KOSPI,CONSTRUCTION_REAL_ESTATE,CAP_MID,KOSPI|CONSTRUCTION_REAL_ESTATE|CAP_MID,2,1988-09-29,AGE_GE10Y,건물 건설업,155,False,True,False
57,001470,삼부토건,KOSPI,CONSTRUCTION_REAL_ESTATE,CAP_SMALL,KOSPI|CONSTRUCTION_REAL_ESTATE|CAP_SMALL,2,1976-06-26,AGE_GE10Y,토목 건설업,156,False,True,False
58,001680,대상,KOSPI,CONSUMER_FOOD_RETAIL,CAP_LARGE,KOSPI|CONSUMER_FOOD_RETAIL|CAP_LARGE,2,1970-04-01,AGE_GE10Y,기타 식품 제조업,157,False,True,False
